offset,acc,n,subject
1.0,0.7857142857142857,14,27
1.25,0.7857142857142857,14,27
1.5,0.5714285714285714,14,27
1.75,0.5714285714285714,14,27
2.0,0.5714285714285714,14,27
2.25,0.6428571428571429,14,27
2.5,0.5714285714285714,14,27
2.75,0.5,14,27
3.0,0.5714285714285714,14,27
3.25,0.6428571428571429,14,27
3.5,0.6428571428571429,14,27
3.75,0.7142857142857143,14,27
4.0,0.6428571428571429,14,27
0.5,0.35714285714285715,14,28
0.75,0.21428571428571427,14,28
1.0,0.21428571428571427,14,28
1.25,0.21428571428571427,14,28
1.5,0.21428571428571427,14,28
1.75,0.2857142857142857,14,28
2.0,0.2857142857142857,14,28
2.25,0.2857142857142857,14,28
2.5,0.42857142857142855,14,28
2.75,0.42857142857142855,14,28
3.0,0.42857142857142855,14,28
3.25,0.42857142857142855,14,28
3.5,0.42857142857142855,14,28
3.75,0.5714285714285714,14,28
4.0,0.5714285714285714,14,28
0.5,0.7142857142857143,14,29
0.75,0.7857142857142857,14,29
1.0,0.7857142857142857,14,29
1.25,0.7857142857142857,14,29
1.5,0.7857142857142857,14,29
1.75,0.7857142857142857,14,29
2.0,0.8571428571428571,14,29
2.25,0.8571428571428571,14,29
2.5,1.0,14,29
2.75,1.0,14,29
3.0,0.9285714285714286,14,29
3.25,0.9285714285714286,14,29
3.5,0.9285714285714286,14,29
3.75,0.9285714285714286,14,29
4.0,0.9285714285714286,14,29
0.5,0.5714285714285714,14,30
0.75,0.7142857142857143,14,30
1.0,0.7142857142857143,14,30
1.25,0.7142857142857143,14,30
1.5,0.7142857142857143,14,30
1.75,0.7142857142857143,14,30
2.0,0.7142857142857143,14,30
2.25,0.6428571428571429,14,30
2.5,0.5,14,30
2.75,0.5,14,30
3.0,0.5,14,30
3.25,0.5,14,30
3.5,0.42857142857142855,14,30
3.75,0.42857142857142855,14,30
4.0,0.5,14,30
0.5,0.7142857142857143,14,31
0.75,0.7857142857142857,14,31
1.0,0.7142857142857143,14,31
1.25,0.7857142857142857,14,31
1.5,0.7857142857142857,14,31
1.75,0.8571428571428571,14,31
2.0,0.8571428571428571,14,31
2.25,0.8571428571428571,14,31
2.5,0.9285714285714286,14,31
2.75,0.9285714285714286,14,31
3.0,0.9285714285714286,14,31
3.25,1.0,14,31
3.5,1.0,14,31
